decil,candidato,con_jcf,tasa_decil,reparto_jcf,cve_ent,año
4,4475,0.0,0.0,0.0,04,2024
5,3131,0.0,0.0,0.0,04,2024
6,2156,123.0,0.05705009276437848,0.4823529411764706,04,2024
7,3304,0.0,0.0,0.0,04,2024
8,2563,0.0,0.0,0.0,04,2024
9,1311,0.0,0.0,0.0,04,2024
10,1417,0.0,0.0,0.0,04,2024
1,6527,0.0,0.0,0.0,05,2020
2,10359,0.0,0.0,0.0,05,2020
3,13626,0.0,0.0,0.0,05,2020
4,14051,0.0,0.0,0.0,05,2020
5,19092,0.0,0.0,0.0,05,2020
6,15177,0.0,0.0,0.0,05,2020
7,17353,0.0,0.0,0.0,05,2020
8,19330,0.0,0.0,0.0,05,2020
9,14930,0.0,0.0,0.0,05,2020
10,14515,0.0,0.0,0.0,05,2020
1,4029,0.0,0.0,0.0,05,2022
2,6857,0.0,0.0,0.0,05,2022
3,11371,0.0,0.0,0.0,05,2022
4,12983,0.0,0.0,0.0,05,2022
5,14773,263.0,0.017802748256955256,1.0,05,2022
6,16857,0.0,0.0,0.0,05,2022
7,13699,0.0,0.0,0.0,05,2022
8,15752,0.0,0.0,0.0,05,2022
9,25237,0.0,0.0,0.0,05,2022
10,14416,0.0,0.0,0.0,05,2022
1,4473,0.0,0.0,0.0,05,2024
2,5895,0.0,0.0,0.0,05,2024
3,11958,0.0,0.0,0.0,05,2024
4,10968,0.0,0.0,0.0,05,2024
5,18062,0.0,0.0,0.0,05,2024
6,14334,0.0,0.0,0.0,05,2024
7,16165,0.0,0.0,0.0,05,2024
8,17632,0.0,0.0,0.0,05,2024
9,19658,0.0,0.0,0.0,05,2024
10,14617,0.0,0.0,0.0,05,2024
1,891,0.0,0.0,0.0,06,2020
2,1692,0.0,0.0,0.0,06,2020
3,2567,0.0,0.0,0.0,06,2020
4,2410,131.0,0.05435684647302905,0.3283208020050125,06,2020
5,2639,0.0,0.0,0.0,06,2020
6,1418,54.0,0.0380818053596615,0.13533834586466165,06,2020
7,3281,116.0,0.03535507467235599,0.2907268170426065,06,2020
8,3674,0.0,0.0,0.0,06,2020
9,2964,98.0,0.033063427800269905,0.24561403508771928,06,2020
10,1819,0.0,0.0,0.0,06,2020
1,841,0.0,0.0,0.0,06,2022
2,1645,0.0,0.0,0.0,06,2022
3,1894,0.0,0.0,0.0,06,2022
4,2201,0.0,0.0,0.0,06,2022
5,2144,79.0,0.03684701492537314,0.24233128834355827,06,2022
6,2420,0.0,0.0,0.0,06,2022
7,2024,0.0,0.0,0.0,06,2022
8,3121,131.0,0.041973726369753286,0.401840490797546,06,2022
9,4201,116.0,0.027612473220661748,0.3558282208588957,06,2022
10,1170,0.0,0.0,0.0,06,2022
1,621,0.0,0.0,0.0,06,2024
2,1150,0.0,0.0,0.0,06,2024
3,1679,0.0,0.0,0.0,06,2024
4,1461,0.0,0.0,0.0,06,2024
5,1887,0.0,0.0,0.0,06,2024
6,1224,32.0,0.026143790849673203,0.20382165605095542,06,2024
7,2030,17.0,0.008374384236453201,0.10828025477707007,06,2024
8,2167,0.0,0.0,0.0,06,2024
9,1726,0.0,0.0,0.0,06,2024
10,1481,108.0,0.07292370020256583,0.6878980891719745,06,2024
1,64572,1498.0,0.023198909744161555,0.09780621572212066,07,2020
2,41341,3736.0,0.0903703345347234,0.24392791851658396,07,2020
3,29869,566.0,0.018949412434296427,0.036954818490467486,07,2020
4,23699,5213.0,0.21996708721886998,0.34036301906503,07,2020
5,25467,2286.0,0.08976322299446342,0.14925568033429093,07,2020
6,18424,1238.0,0.06719496309161962,0.08083050404805432,07,2020
7,12662,779.0,0.06152266624545885,0.0508618438234526,07,2020
8,5175,0.0,0.0,0.0,07,2020
9,7448,0.0,0.0,0.0,07,2020
10,1976,0.0,0.0,0.0,07,2020
1,51074,0.0,0.0,0.0,07,2022
2,45929,695.0,0.01513205164493022,0.14294529000411355,07,2022
3,26115,590.0,0.022592379858318974,0.12134923899629782,07,2022
4,20607,930.0,0.045130295530644925,0.19127930892636774,07,2022
5,15121,551.0,0.036439388929303616,0.11332784862196627,07,2022
6,12507,695.0,0.055568881426401213,0.14294529000411355,07,2022
7,9303,626.0,0.0672901214661937,0.12875359934183464,07,2022
8,10951,0.0,0.0,0.0,07,2022
9,4920,0.0,0.0,0.0,07,2022
10,5873,775.0,0.1319598161076111,0.15939942410530647,07,2022
1,81803,0.0,0.0,0.0,07,2024
2,44670,0.0,0.0,0.0,07,2024
3,29935,732.0,0.02445298145982963,1.0,07,2024
4,26181,0.0,0.0,0.0,07,2024
5,21307,0.0,0.0,0.0,07,2024
6,15147,0.0,0.0,0.0,07,2024
7,8822,0.0,0.0,0.0,07,2024
8,10213,0.0,0.0,0.0,07,2024
9,8774,0.0,0.0,0.0,07,2024
10,5199,0.0,0.0,0.0,07,2024
1,9704,0.0,0.0,0.0,08,2020
2,8030,0.0,0.0,0.0,08,2020
3,12553,104.0,0.008284872142117422,0.10297029702970296,08,2020
4,14904,112.0,0.007514761137949544,0.11089108910891089,08,2020
5,16062,0.0,0.0,0.0,08,2020
6,21139,196.0,0.009271961776810634,0.19405940594059407,08,2020
7,24781,263.0,0.010612969613817037,0.2603960396039604,08,2020
8,15295,0.0,0.0,0.0,08,2020
9,15533,335.0,0.021566986416017512,0.3316831683168317,08,2020
10,16106,0.0,0.0,0.0,08,2020
1,6739,0.0,0.0,0.0,08,2022
2,7856,0.0,0.0,0.0,08,2022
3,12381,71.0,0.005734593328487198,0.2508833922261484,08,2022
4,12897,0.0,0.0,0.0,08,2022
5,15406,115.0,0.0074646241724003635,0.40636042402826855,08,2022
6,16758,0.0,0.0,0.0,08,2022
7,18132,97.0,0.005349658063092875,0.34275618374558303,08,2022
8,15165,0.0,0.0,0.0,08,2022
9,21494,0.0,0.0,0.0,08,2022
10,17850,0.0,0.0,0.0,08,2022
1,5658,0.0,0.0,0.0,08,2024
2,6648,0.0,0.0,0.0,08,2024
3,9020,0.0,0.0,0.0,08,2024
4,8684,0.0,0.0,0.0,08,2024
5,11161,0.0,0.0,0.0,08,2024
6,16901,0.0,0.0,0.0,08,2024
7,21799,0.0,0.0,0.0,08,2024
8,16718,0.0,0.0,0.0,08,2024
9,16244,102.0,0.00627924156611672,1.0,08,2024
10,12634,0.0,0.0,0.0,08,2024
1,18696,0.0,0.0,0.0,09,2020
2,21471,0.0,0.0,0.0,09,2020
3,32097,0.0,0.0,0.0,09,2020
4,37570,0.0,0.0,0.0,09,2020
5,41349,0.0,0.0,0.0,09,2020
6,32786,0.0,0.0,0.0,09,2020
7,31697,0.0,0.0,0.0,09,2020
8,54963,2524.0,0.04592180193948656,0.6491769547325102,09,2020
9,52530,1364.0,0.025966114601180278,0.3508230452674897,09,2020
10,27976,0.0,0.0,0.0,09,2020
1,7768,0.0,0.0,0.0,09,2022
2,13094,0.0,0.0,0.0,09,2022
3,22587,0.0,0.0,0.0,09,2022
4,27696,0.0,0.0,0.0,09,2022
5,27245,0.0,0.0,0.0,09,2022
6,38274,32.0,0.000836076710038146,0.016976127320954906,09,2022
7,39202,1853.0,0.047267996530789246,0.9830238726790451,09,2022
8,36096,0.0,0.0,0.0,09,2022
9,38444,0.0,0.0,0.0,09,2022
10,30471,0.0,0.0,0.0,09,2022
1,8121,0.0,0.0,0.0,09,2024
2,16485,0.0,0.0,0.0,09,2024
3,22103,0.0,0.0,0.0,09,2024
4,13573,0.0,0.0,0.0,09,2024
5,35822,0.0,0.0,0.0,09,2024
6,28531,0.0,0.0,0.0,09,2024
7,31307,0.0,0.0,0.0,09,2024
8,29685,0.0,0.0,0.0,09,2024
9,31727,0.0,0.0,0.0,09,2024
10,20841,0.0,0.0,0.0,09,2024
1,6659,132.0,0.019822796215647996,0.18057455540355677,10,2020
2,7015,0.0,0.0,0.0,10,2020
3,5565,0.0,0.0,0.0,10,2020
4,10060,0.0,0.0,0.0,10,2020
5,8845,0.0,0.0,0.0,10,2020
6,8295,132.0,0.015913200723327307,0.18057455540355677,10,2020
7,7536,215.0,0.02852972399150743,0.29411764705882354,10,2020
8,6980,252.0,0.03610315186246418,0.3447332421340629,10,2020
9,8600,0.0,0.0,0.0,10,2020
10,4198,0.0,0.0,0.0,10,2020
1,7540,108.0,0.014323607427055704,0.0590486604702023,10,2022
2,7948,354.0,0.044539506794162055,0.1935483870967742,10,2022
3,8659,254.0,0.02933364129807137,0.1388737014762165,10,2022
4,10140,526.0,0.05187376725838264,0.2875888463641334,10,2022
5,8539,121.0,0.014170277550064411,0.0661563696008748,10,2022
6,6159,231.0,0.03750608865075499,0.12629852378348824,10,2022
7,5949,0.0,0.0,0.0,10,2022
8,7798,235.0,0.030135932290330854,0.12848551120831056,10,2022
9,6564,0.0,0.0,0.0,10,2022
10,3705,0.0,0.0,0.0,10,2022
1,5543,0.0,0.0,0.0,10,2024
2,6366,0.0,0.0,0.0,10,2024
3,8414,0.0,0.0,0.0,10,2024
4,7852,260.0,0.033112582781456956,0.7202216066481995,10,2024
5,8517,0.0,0.0,0.0,10,2024
6,10723,0.0,0.0,0.0,10,2024
7,7375,0.0,0.0,0.0,10,2024
8,5894,0.0,0.0,0.0,10,2024
9,5382,0.0,0.0,0.0,10,2024
10,3770,101.0,0.026790450928381962,0.27977839335180055,10,2024
1,19063,0.0,0.0,0.0,11,2020
2,26335,0.0,0.0,0.0,11,2020
3,28433,0.0,0.0,0.0,11,2020
4,34035,0.0,0.0,0.0,11,2020
5,39597,0.0,0.0,0.0,11,2020
6,31771,0.0,0.0,0.0,11,2020
7,34516,0.0,0.0,0.0,11,2020
8,26939,0.0,0.0,0.0,11,2020
9,27254,289.0,0.010603948044323769,0.3211111111111111,11,2020
10,23003,611.0,0.026561752814850237,0.6788888888888889,11,2020
1,18008,0.0,0.0,0.0,11,2022
2,22522,0.0,0.0,0.0,11,2022
3,31991,0.0,0.0,0.0,11,2022
4,27648,0.0,0.0,0.0,11,2022
5,25581,273.0,0.010671983112466284,0.13787878787878788,11,2022
6,33335,299.0,0.00896955152242388,0.151010101010101,11,2022
7,35759,0.0,0.0,0.0,11,2022
8,14447,0.0,0.0,0.0,11,2022
9,22898,1408.0,0.0614900864704341,0.7111111111111111,11,2022
10,8995,0.0,0.0,0.0,11,2022
1,10586,0.0,0.0,0.0,11,2024
2,26858,0.0,0.0,0.0,11,2024
3,33197,0.0,0.0,0.0,11,2024
4,22716,0.0,0.0,0.0,11,2024
5,29032,0.0,0.0,0.0,11,2024
6,33290,279.0,0.008380895163712827,1.0,11,2024
7,23265,0.0,0.0,0.0,11,2024
8,26193,0.0,0.0,0.0,11,2024
9,20096,0.0,0.0,0.0,11,2024
10,13826,0.0,0.0,0.0,11,2024
1,30236,312.0,0.010318825241434052,0.032811021137869385,12,2020
2,35390,1236.0,0.03492512009042102,0.12998212220002103,12,2020
3,21626,2257.0,0.10436511606399704,0.23735408560311283,12,2020
4,13547,240.0,0.017716099505425555,0.025239247029130298,12,2020
5,12792,1028.0,0.08036272670419012,0.10810810810810811,12,2020
6,14785,868.0,0.05870815015218127,0.09128194342202124,12,2020
7,11743,1487.0,0.12662862982202164,0.1563781680513198,12,2020
8,8456,1229.0,0.14534058656575213,0.12924597749500474,12,2020
9,9565,306.0,0.0319916361735494,0.03218003996214113,12,2020
10,6668,546.0,0.08188362327534493,0.057419286991271426,12,2020
