macrotema,monto_exp,pct,cve_ent,año
Transferencias,2077824.2400000002,3.29,13,2020
Percepciones financieras y de capital,1325053.17,2.1,13,2020
Renta de la propiedad,1104209.47,1.75,13,2020
Trabajo,13264501.38,56.33,13,2022
Programas sociales y becas,6950949.78,29.52,13,2022
Percepciones financieras y de capital,1782292.26,7.57,13,2022
Transferencias,891146.13,3.78,13,2022
Negocio propio,657216.9299999999,2.79,13,2022
Negocio propio,50460457.08,57.6,14,2022
Programas sociales y becas,14908771.41,17.02,14,2022
Transferencias,12185047.55,13.91,14,2022
Trabajo,10034742.78,11.46,14,2022
Otros ingresos,9552.34,0.01,14,2022
Trabajo,138986331.25,46.64,15,2020
Transferencias,81158112.7,27.24,15,2020
Programas sociales y becas,46231559.43,15.51,15,2020
Negocio propio,25508198.14,8.56,15,2020
Percepciones financieras y de capital,4951986.57,1.66,15,2020
Renta de la propiedad,1153368.54,0.39,15,2020
Trabajo,44696529.22,67.54,15,2022
Programas sociales y becas,14756987.2,22.3,15,2022
Transferencias,5193439.68,7.85,15,2022
Negocio propio,1355160.7999999998,2.05,15,2022
Percepciones financieras y de capital,180575.72,0.27,15,2022
Negocio propio,59957812.69,42.19,15,2024
Programas sociales y becas,56454604.14,39.72,15,2024
Trabajo,25702644.07,18.09,15,2024
Trabajo,47494490.93,38.01,16,2020
Programas sociales y becas,40785390.09,32.64,16,2020
Transferencias,30328405.019999996,24.27,16,2020
Negocio propio,6277801.2299999995,5.02,16,2020
Percepciones financieras y de capital,79917.5,0.06,16,2020
Trabajo,95532605.41,55.17,16,2022
Negocio propio,24973148.470000003,14.42,16,2022
Programas sociales y becas,24233045.22,14.0,16,2022
Percepciones financieras y de capital,17211585.990000002,9.94,16,2022
Transferencias,11199237.23,6.47,16,2022
Programas sociales y becas,25822546.0,55.86,16,2024
Negocio propio,16964073.14,36.7,16,2024
Transferencias,3437700.64,7.44,16,2024
Trabajo,45053891.81,74.25,17,2020
Programas sociales y becas,8911693.57,14.69,17,2020
Percepciones financieras y de capital,3629344.6,5.98,17,2020
Transferencias,2754481.68,4.54,17,2020
Negocio propio,332803.5,0.55,17,2020
Trabajo,40511682.99,66.35,17,2022
Programas sociales y becas,15028799.040000001,24.61,17,2022
Transferencias,4025700.88,6.59,17,2022
Percepciones financieras y de capital,822294.16,1.35,17,2022
Negocio propio,657272.7,1.08,17,2022
Otros ingresos,15049.08,0.02,17,2022
Trabajo,120462327.63000001,63.8,17,2024
Programas sociales y becas,53435288.25,28.3,17,2024
Percepciones financieras y de capital,7600988.09,4.03,17,2024
Transferencias,7300848.3,3.87,17,2024
Trabajo,66928351.18,65.98,18,2020
Transferencias,14708230.74,14.5,18,2020
Programas sociales y becas,9188247.21,9.06,18,2020
Percepciones financieras y de capital,8789997.51,8.67,18,2020
Negocio propio,1823387.0,1.8,18,2020
Trabajo,54308911.42,61.67,18,2022
Transferencias,22018308.64,25.0,18,2022
Programas sociales y becas,7680138.85,8.72,18,2022
Negocio propio,3089053.54,3.51,18,2022
Percepciones financieras y de capital,969769.83,1.1,18,2022
Negocio propio,10330677.84,41.6,18,2024
Trabajo,9372111.0,37.74,18,2024
