caja,n,cve_ent,año
20-30%,0,11,2020
30-40%,0,11,2020
40-50%,0,11,2020
50-60%,0,11,2020
60-70%,0,11,2020
70-80%,0,11,2020
80-90%,0,11,2020
90-100%,0,11,2020
0-10%,2,11,2022
10-20%,1,11,2022
20-30%,0,11,2022
30-40%,0,11,2022
40-50%,0,11,2022
50-60%,0,11,2022
60-70%,0,11,2022
70-80%,0,11,2022
80-90%,0,11,2022
90-100%,0,11,2022
0-10%,0,11,2024
10-20%,0,11,2024
20-30%,0,11,2024
30-40%,1,11,2024
40-50%,0,11,2024
50-60%,0,11,2024
60-70%,0,11,2024
70-80%,0,11,2024
80-90%,0,11,2024
90-100%,0,11,2024
0-10%,5,12,2020
10-20%,6,12,2020
20-30%,7,12,2020
30-40%,1,12,2020
40-50%,5,12,2020
50-60%,2,12,2020
60-70%,0,12,2020
70-80%,0,12,2020
80-90%,0,12,2020
90-100%,0,12,2020
0-10%,2,12,2022
10-20%,3,12,2022
20-30%,3,12,2022
30-40%,1,12,2022
40-50%,0,12,2022
50-60%,1,12,2022
60-70%,0,12,2022
70-80%,0,12,2022
80-90%,0,12,2022
90-100%,0,12,2022
0-10%,1,12,2024
10-20%,1,12,2024
20-30%,1,12,2024
30-40%,1,12,2024
40-50%,1,12,2024
50-60%,0,12,2024
60-70%,1,12,2024
70-80%,0,12,2024
80-90%,0,12,2024
90-100%,0,12,2024
0-10%,1,13,2020
10-20%,2,13,2020
20-30%,2,13,2020
30-40%,1,13,2020
40-50%,0,13,2020
50-60%,0,13,2020
60-70%,0,13,2020
70-80%,0,13,2020
80-90%,0,13,2020
90-100%,0,13,2020
0-10%,0,13,2022
10-20%,0,13,2022
20-30%,0,13,2022
30-40%,1,13,2022
40-50%,0,13,2022
50-60%,0,13,2022
60-70%,0,13,2022
70-80%,0,13,2022
80-90%,0,13,2022
90-100%,0,13,2022
0-10%,0,14,2022
10-20%,1,14,2022
20-30%,0,14,2022
30-40%,0,14,2022
40-50%,0,14,2022
50-60%,0,14,2022
60-70%,0,14,2022
70-80%,0,14,2022
80-90%,0,14,2022
90-100%,0,14,2022
0-10%,2,15,2020
10-20%,1,15,2020
20-30%,2,15,2020
30-40%,0,15,2020
40-50%,0,15,2020
50-60%,0,15,2020
60-70%,0,15,2020
70-80%,0,15,2020
80-90%,0,15,2020
90-100%,0,15,2020
0-10%,1,15,2022
10-20%,1,15,2022
20-30%,1,15,2022
30-40%,0,15,2022
40-50%,0,15,2022
50-60%,0,15,2022
60-70%,0,15,2022
70-80%,0,15,2022
80-90%,0,15,2022
90-100%,0,15,2022
0-10%,0,15,2024
10-20%,0,15,2024
20-30%,1,15,2024
30-40%,1,15,2024
40-50%,0,15,2024
50-60%,1,15,2024
60-70%,0,15,2024
70-80%,0,15,2024
80-90%,0,15,2024
90-100%,0,15,2024
0-10%,1,16,2020
10-20%,1,16,2020
20-30%,2,16,2020
30-40%,1,16,2020
40-50%,0,16,2020
50-60%,0,16,2020
60-70%,0,16,2020
70-80%,0,16,2020
80-90%,0,16,2020
90-100%,0,16,2020
0-10%,1,16,2022
10-20%,3,16,2022
20-30%,1,16,2022
30-40%,0,16,2022
40-50%,0,16,2022
50-60%,0,16,2022
60-70%,0,16,2022
70-80%,0,16,2022
80-90%,0,16,2022
90-100%,0,16,2022
0-10%,0,16,2024
10-20%,0,16,2024
20-30%,1,16,2024
30-40%,0,16,2024
