clave,monto_exp,pct,programa,decil,cve_ent,año
P101,897650.88,4.52,Benito Juarez basica,7,12,2020
P105,778398.39,3.92,Discapacidad,7,12,2020
P106,451955.35000000003,2.28,Madres trabajadoras,7,12,2020
P108,3266550.3600000003,71.43,JCF,8,12,2020
P102,1306621.62,28.57,BJ media superior,8,12,2020
P108,3384259.02,78.94,JCF,9,12,2020
P048,902947.86,21.06,Otros programas sociales,9,12,2020
P108,5928844.74,77.81,JCF,10,12,2020
P103,1690432.8,22.19,Jov Escribiendo,10,12,2020
P108,7912653.640000001,78.46,JCF,3,12,2022
P043,2171929.7600000002,21.54,PROCAMPO/ProAgro,3,12,2022
P108,5051868.58,100.0,JCF,4,12,2022
P108,3228260.75,39.4,JCF,5,12,2022
P043,1883150.5,22.98,PROCAMPO/ProAgro,5,12,2022
P104,1553598.75,18.96,Adultos mayores,5,12,2022
P105,1089536.25,13.3,Discapacidad,5,12,2022
P101,438504.0,5.35,Benito Juarez basica,5,12,2022
P108,13798866.309999999,100.0,JCF,6,12,2022
P108,1310957.94,100.0,JCF,7,12,2022
P108,6403898.2,100.0,JCF,9,12,2022
P108,6993440.24,100.0,JCF,3,12,2024
P108,6955431.76,100.0,JCF,4,12,2024
P108,10080491.22,100.0,JCF,6,12,2024
P108,18413108.48,100.0,JCF,8,12,2024
P108,8710815.72,100.0,JCF,9,12,2024
P108,6383146.5,100.0,JCF,10,12,2024
P108,1156303.32,100.0,JCF,3,13,2020
P108,1753823.2000000002,100.0,JCF,4,13,2020
P108,5300212.68,71.43,JCF,5,13,2020
P102,2120084.47,28.57,BJ media superior,5,13,2020
P104,3629264.64,56.34,Adultos mayores,6,13,2020
P105,1340194.44,20.81,Discapacidad,6,13,2020
P108,640662.12,9.95,JCF,6,13,2020
P101,554084.34,8.6,Benito Juarez basica,6,13,2020
P043,277040.4,4.3,PROCAMPO/ProAgro,6,13,2020
P108,4986776.76,95.05,JCF,7,13,2020
P043,259726.26,4.95,PROCAMPO/ProAgro,7,13,2020
P108,6950949.78,100.0,JCF,6,13,2022
P108,14908771.41,100.0,JCF,9,14,2022
P108,18576748.11,100.0,JCF,6,15,2020
P108,22169425.209999997,86.07,JCF,8,15,2020
P048,3588734.05,13.93,Otros programas sociales,8,15,2020
P108,1896652.06,100.0,JCF,10,15,2020
P108,4695245.619999999,100.0,JCF,2,15,2022
P048,1246424.96,60.0,Otros programas sociales,3,15,2022
P108,830948.8,40.0,JCF,3,15,2022
P108,6544563.86,81.97,JCF,8,15,2022
P048,1439803.9600000002,18.03,Otros programas sociales,8,15,2022
P108,7417659.82,82.42,JCF,3,15,2024
P048,1582434.0499999998,17.58,Otros programas sociales,3,15,2024
P108,20672795.46,71.43,JCF,8,15,2024
P104,8269112.61,28.57,Adultos mayores,8,15,2024
P108,18512602.2,100.0,JCF,9,15,2024
P108,1182785.5,69.81,JCF,2,16,2020
P102,511472.0,30.19,BJ media superior,2,16,2020
P108,12840130.26,100.0,JCF,6,16,2020
P108,26251002.33,100.0,JCF,9,16,2020
P108,4524448.8,100.0,JCF,4,16,2022
P108,2963391.2199999997,100.0,JCF,6,16,2022
P108,16745205.2,100.0,JCF,7,16,2022
P108,6571410.3,100.0,JCF,4,16,2024
P108,13750811.88,71.43,JCF,5,16,2024
P104,5500323.82,28.57,Adultos mayores,5,16,2024
P108,691458.0,85.49,JCF,1,17,2020
P101,117390.75,14.51,Benito Juarez basica,1,17,2020
