cve_ent,nivel,sexo,edad,personas,año
18,Primaria,FEMENINO,20,178,2020
18,Secundaria,MASCULINO,24,185,2020
18,Secundaria,MASCULINO,28,178,2020
18,Superior,FEMENINO,23,186,2020
19,Media superior,FEMENINO,18,760,2020
19,Media superior,FEMENINO,23,81,2020
19,Media superior,MASCULINO,29,586,2020
19,Secundaria,FEMENINO,20,51,2020
19,Secundaria,FEMENINO,23,105,2020
19,Secundaria,MASCULINO,26,54,2020
20,Media superior,FEMENINO,26,295,2020
20,Media superior,FEMENINO,28,376,2020
20,Media superior,MASCULINO,20,546,2020
20,Secundaria,FEMENINO,20,1195,2020
20,Superior,FEMENINO,20,338,2020
20,Superior,FEMENINO,22,422,2020
20,Superior,FEMENINO,29,1316,2020
20,Superior,MASCULINO,21,499,2020
20,Superior,MASCULINO,25,467,2020
21,Superior,FEMENINO,29,381,2020
22,Media superior,FEMENINO,20,220,2020
22,Media superior,FEMENINO,29,199,2020
22,Media superior,MASCULINO,19,90,2020
22,Primaria,FEMENINO,24,114,2020
22,Secundaria,MASCULINO,23,67,2020
23,Media superior,FEMENINO,19,136,2020
23,Media superior,FEMENINO,20,107,2020
23,Media superior,FEMENINO,21,124,2020
23,Media superior,FEMENINO,23,133,2020
23,Media superior,FEMENINO,24,124,2020
23,Media superior,FEMENINO,28,115,2020
23,Media superior,MASCULINO,18,266,2020
23,Media superior,MASCULINO,22,453,2020
23,Media superior,MASCULINO,24,212,2020
23,Media superior,MASCULINO,29,124,2020
23,Secundaria,FEMENINO,19,124,2020
23,Secundaria,FEMENINO,20,119,2020
23,Secundaria,FEMENINO,25,230,2020
23,Secundaria,FEMENINO,28,115,2020
23,Secundaria,MASCULINO,22,124,2020
23,Secundaria,MASCULINO,24,115,2020
23,Secundaria,MASCULINO,27,115,2020
23,Secundaria,MASCULINO,28,243,2020
23,Superior,MASCULINO,24,337,2020
24,Secundaria,FEMENINO,23,219,2020
24,Secundaria,MASCULINO,24,479,2020
24,Superior,MASCULINO,23,285,2020
25,Secundaria,FEMENINO,18,355,2020
25,Superior,FEMENINO,24,518,2020
25,Superior,FEMENINO,26,205,2020
26,Superior,FEMENINO,18,412,2020
27,Media superior,FEMENINO,18,308,2020
27,Media superior,FEMENINO,19,773,2020
27,Media superior,FEMENINO,20,642,2020
27,Media superior,FEMENINO,21,1012,2020
27,Media superior,FEMENINO,26,560,2020
27,Media superior,FEMENINO,27,356,2020
27,Media superior,FEMENINO,29,248,2020
27,Media superior,MASCULINO,19,339,2020
27,Media superior,MASCULINO,21,917,2020
27,Media superior,MASCULINO,26,1058,2020
27,Media superior,MASCULINO,28,357,2020
27,Primaria,FEMENINO,22,243,2020
27,Primaria,FEMENINO,27,260,2020
27,Primaria,MASCULINO,23,243,2020
27,Primaria,MASCULINO,27,257,2020
27,Secundaria,FEMENINO,19,379,2020
27,Secundaria,FEMENINO,22,687,2020
27,Secundaria,FEMENINO,23,652,2020
27,Secundaria,FEMENINO,25,320,2020
27,Secundaria,FEMENINO,28,746,2020
27,Secundaria,MASCULINO,26,266,2020
27,Secundaria,MASCULINO,27,358,2020
27,Superior,FEMENINO,20,388,2020
27,Superior,FEMENINO,22,380,2020
27,Superior,FEMENINO,25,243,2020
27,Superior,FEMENINO,28,347,2020
27,Superior,FEMENINO,29,322,2020
27,Superior,MASCULINO,23,361,2020
27,Superior,MASCULINO,25,611,2020
27,Superior,MASCULINO,30,347,2020
28,Media superior,FEMENINO,22,408,2020
28,Media superior,MASCULINO,20,230,2020
28,Secundaria,FEMENINO,20,379,2020
28,Secundaria,FEMENINO,21,358,2020
28,Secundaria,FEMENINO,22,358,2020
28,Secundaria,FEMENINO,23,462,2020
28,Secundaria,FEMENINO,25,206,2020
28,Secundaria,FEMENINO,27,379,2020
28,Secundaria,FEMENINO,28,523,2020
28,Secundaria,MASCULINO,29,206,2020
28,Superior,FEMENINO,26,510,2020
29,Media superior,FEMENINO,28,145,2020
29,Media superior,MASCULINO,22,154,2020
29,Secundaria,FEMENINO,19,123,2020
29,Secundaria,FEMENINO,29,145,2020
29,Secundaria,MASCULINO,24,132,2020
29,Superior,FEMENINO,22,188,2020
29,Superior,MASCULINO,24,186,2020
30,Media superior,FEMENINO,20,568,2020
30,Media superior,FEMENINO,22,615,2020
30,Media superior,FEMENINO,23,1194,2020
30,Media superior,MASCULINO,21,572,2020
30,Media superior,MASCULINO,22,1189,2020
30,Media superior,MASCULINO,25,880,2020
30,Primaria,FEMENINO,20,545,2020
30,Primaria,FEMENINO,22,726,2020
30,Secundaria,FEMENINO,20,584,2020
30,Secundaria,FEMENINO,22,880,2020
30,Superior,FEMENINO,22,694,2020
30,Superior,FEMENINO,23,1189,2020
30,Superior,FEMENINO,24,1321,2020
30,Superior,MASCULINO,22,536,2020
31,Media superior,FEMENINO,21,89,2020
31,Media superior,FEMENINO,22,258,2020
31,Media superior,FEMENINO,25,232,2020
31,Media superior,FEMENINO,26,352,2020
31,Media superior,FEMENINO,27,81,2020
31,Secundaria,FEMENINO,19,91,2020
31,Secundaria,MASCULINO,24,436,2020
31,Superior,FEMENINO,23,97,2020
31,Superior,MASCULINO,23,396,2020
32,Media superior,FEMENINO,22,184,2020
32,Media superior,FEMENINO,23,188,2020
32,Media superior,MASCULINO,27,232,2020
32,Secundaria,FEMENINO,19,163,2020
32,Secundaria,FEMENINO,24,191,2020
32,Secundaria,MASCULINO,24,245,2020
32,Superior,FEMENINO,24,245,2020
32,Superior,FEMENINO,28,158,2020
32,Superior,FEMENINO,29,176,2020
32,Superior,MASCULINO,21,184,2020
32,Superior,MASCULINO,26,188,2020
01,Media superior,FEMENINO,28,78,2022
