caja,n,año
0-10%,67,2020
10-20%,73,2020
20-30%,55,2020
30-40%,25,2020
40-50%,18,2020
50-60%,12,2020
60-70%,6,2020
70-80%,2,2020
80-90%,3,2020
90-100%,1,2020
0-10%,29,2022
10-20%,44,2022
20-30%,32,2022
30-40%,18,2022
40-50%,10,2022
50-60%,7,2022
60-70%,6,2022
70-80%,1,2022
80-90%,3,2022
90-100%,0,2022
0-10%,13,2024
10-20%,17,2024
20-30%,18,2024
30-40%,19,2024
40-50%,11,2024
50-60%,4,2024
60-70%,3,2024
70-80%,0,2024
80-90%,0,2024
90-100%,1,2024
