clave,monto_exp,pct,programa,decil,año
P104,5500323.82,8.14,Adultos mayores,5,2024
P043,1918609.8099999998,2.84,PROCAMPO/ProAgro,5,2024
P101,915027.9400000001,1.35,Benito Juarez basica,5,2024
P105,313874.79,0.46,Discapacidad,5,2024
P108,81910404.94,96.35,JCF,6,2024
P043,2863221.85,3.37,PROCAMPO/ProAgro,6,2024
P101,236054.1,0.28,Benito Juarez basica,6,2024
P108,14449539.98,86.59,JCF,7,2024
P104,1127211.33,6.75,Adultos mayores,7,2024
P043,563604.71,3.38,PROCAMPO/ProAgro,7,2024
P102,547825.6,3.28,BJ media superior,7,2024
P108,61919954.58,88.22,JCF,8,2024
P104,8269112.61,11.78,Adultos mayores,8,2024
P108,56749513.269999996,79.72,JCF,9,2024
P104,8989231.14,12.63,Adultos mayores,9,2024
P105,4667915.3,6.56,Discapacidad,9,2024
P048,363912.72000000003,0.51,Otros programas sociales,9,2024
P102,296656.80000000005,0.42,BJ media superior,9,2024
P101,119225.25,0.17,Benito Juarez basica,9,2024
P108,41562961.75,97.67,JCF,10,2024
P102,622869.62,1.46,BJ media superior,10,2024
P043,367873.91,0.86,PROCAMPO/ProAgro,10,2024
