cve_ent,cve_mun,edad,sexo,poblacion
01,01008,20,FEMENINO,51
01,01008,20,MASCULINO,11
01,01008,21,FEMENINO,45
01,01008,21,MASCULINO,24
01,01008,22,FEMENINO,42
01,01008,22,MASCULINO,22
01,01008,23,FEMENINO,43
01,01008,23,MASCULINO,20
01,01008,24,FEMENINO,68
01,01008,24,MASCULINO,21
01,01008,25,FEMENINO,63
01,01008,25,MASCULINO,8
01,01008,26,FEMENINO,61
01,01008,26,MASCULINO,14
01,01008,27,FEMENINO,51
01,01008,27,MASCULINO,9
01,01008,28,FEMENINO,42
01,01008,28,MASCULINO,15
01,01008,29,FEMENINO,46
01,01008,29,MASCULINO,13
01,01009,18,FEMENINO,134
01,01009,18,MASCULINO,68
01,01009,19,FEMENINO,105
01,01009,19,MASCULINO,45
01,01009,20,FEMENINO,109
01,01009,20,MASCULINO,29
01,01009,21,FEMENINO,130
01,01009,21,MASCULINO,44
01,01009,22,FEMENINO,128
01,01009,22,MASCULINO,39
01,01009,23,FEMENINO,87
01,01009,23,MASCULINO,38
01,01009,24,FEMENINO,114
01,01009,24,MASCULINO,33
01,01009,25,FEMENINO,127
01,01009,25,MASCULINO,39
01,01009,26,FEMENINO,151
01,01009,26,MASCULINO,31
01,01009,27,FEMENINO,117
01,01009,27,MASCULINO,31
01,01009,28,FEMENINO,110
01,01009,28,MASCULINO,22
01,01009,29,FEMENINO,128
01,01009,29,MASCULINO,14
01,01010,18,FEMENINO,127
01,01010,18,MASCULINO,44
01,01010,19,FEMENINO,136
01,01010,19,MASCULINO,38
01,01010,20,FEMENINO,88
01,01010,20,MASCULINO,36
01,01010,21,FEMENINO,64
01,01010,21,MASCULINO,34
01,01010,22,FEMENINO,150
01,01010,22,MASCULINO,45
01,01010,23,FEMENINO,133
01,01010,23,MASCULINO,48
01,01010,24,FEMENINO,113
01,01010,24,MASCULINO,40
01,01010,25,FEMENINO,125
01,01010,25,MASCULINO,49
01,01010,26,FEMENINO,143
01,01010,26,MASCULINO,27
01,01010,27,FEMENINO,132
01,01010,27,MASCULINO,15
01,01010,28,FEMENINO,109
01,01010,28,MASCULINO,11
01,01010,29,FEMENINO,118
01,01010,29,MASCULINO,23
01,01011,18,FEMENINO,162
01,01011,18,MASCULINO,81
01,01011,19,FEMENINO,306
01,01011,19,MASCULINO,35
01,01011,20,FEMENINO,357
01,01011,20,MASCULINO,36
01,01011,21,FEMENINO,378
01,01011,21,MASCULINO,56
01,01011,22,FEMENINO,180
01,01011,22,MASCULINO,102
01,01011,23,FEMENINO,213
01,01011,23,MASCULINO,30
01,01011,24,FEMENINO,197
01,01011,24,MASCULINO,49
01,01011,25,FEMENINO,287
01,01011,25,MASCULINO,109
01,01011,26,FEMENINO,221
01,01011,26,MASCULINO,16
01,01011,27,FEMENINO,308
01,01011,27,MASCULINO,13
01,01011,28,FEMENINO,224
01,01011,28,MASCULINO,120
01,01011,29,FEMENINO,258
01,01011,29,MASCULINO,101
02,02001,18,FEMENINO,1219
02,02001,18,MASCULINO,778
02,02001,19,FEMENINO,1020
02,02001,19,MASCULINO,629
02,02001,20,FEMENINO,1222
02,02001,20,MASCULINO,473
02,02001,21,FEMENINO,1005
02,02001,21,MASCULINO,551
02,02001,22,FEMENINO,793
02,02001,22,MASCULINO,670
02,02001,23,FEMENINO,1385
02,02001,23,MASCULINO,560
02,02001,24,FEMENINO,1543
02,02001,24,MASCULINO,407
02,02001,25,FEMENINO,1124
02,02001,25,MASCULINO,458
02,02001,26,FEMENINO,1344
02,02001,26,MASCULINO,368
02,02001,27,FEMENINO,1261
02,02001,27,MASCULINO,327
02,02001,28,FEMENINO,1383
02,02001,28,MASCULINO,306
02,02001,29,FEMENINO,1234
02,02001,29,MASCULINO,226
02,02002,18,FEMENINO,2128
02,02002,18,MASCULINO,2004
02,02002,19,FEMENINO,1799
02,02002,19,MASCULINO,1351
02,02002,20,FEMENINO,2475
02,02002,20,MASCULINO,2045
02,02002,21,FEMENINO,2268
02,02002,21,MASCULINO,1208
02,02002,22,FEMENINO,2980
02,02002,22,MASCULINO,1374
02,02002,23,FEMENINO,2500
02,02002,23,MASCULINO,716
02,02002,24,FEMENINO,3517
02,02002,24,MASCULINO,1607
02,02002,25,FEMENINO,3431
02,02002,25,MASCULINO,952
02,02002,26,FEMENINO,3350
02,02002,26,MASCULINO,892
02,02002,27,FEMENINO,3399
02,02002,27,MASCULINO,518
02,02002,28,FEMENINO,3242
02,02002,28,MASCULINO,1097
02,02002,29,FEMENINO,3669
02,02002,29,MASCULINO,1053
02,02003,18,FEMENINO,302
02,02003,18,MASCULINO,137
02,02003,19,FEMENINO,177
02,02003,19,MASCULINO,220
02,02003,20,FEMENINO,265
02,02003,20,MASCULINO,185
02,02003,21,FEMENINO,320
02,02003,21,MASCULINO,78
02,02003,22,FEMENINO,246
02,02003,22,MASCULINO,164
02,02003,23,FEMENINO,360
02,02003,23,MASCULINO,109
02,02003,24,FEMENINO,432
02,02003,24,MASCULINO,183
02,02003,25,FEMENINO,539
02,02003,25,MASCULINO,89
02,02003,26,FEMENINO,402
02,02003,26,MASCULINO,123
02,02003,27,FEMENINO,158
02,02003,27,MASCULINO,158
02,02003,28,FEMENINO,375
02,02003,28,MASCULINO,56
02,02003,29,FEMENINO,323
