clave,monto_exp,pct,programa,cve_ent,año
P101,3325197.4,5.15,Benito Juarez basica,30,2020
P104,3047386.08,4.72,Adultos mayores,30,2020
P108,56839187.72,91.38,JCF,30,2022
P101,5360864.8,8.62,Benito Juarez basica,30,2022
P108,78656843.1,94.19,JCF,30,2024
P043,3939549.8,4.72,PROCAMPO/ProAgro,30,2024
P101,915027.9400000001,1.1,Benito Juarez basica,30,2024
P108,12288329.24,80.93,JCF,31,2020
P104,2610776.42,17.19,Adultos mayores,31,2020
P048,285260.13,1.88,Otros programas sociales,31,2020
P108,12626345.31,72.86,JCF,31,2022
P104,3873905.6900000004,22.35,Adultos mayores,31,2022
P101,525831.63,3.03,Benito Juarez basica,31,2022
P102,303650.74,1.75,BJ media superior,31,2022
P108,7927726.21,90.2,JCF,31,2024
P102,547825.6,6.23,BJ media superior,31,2024
P105,313874.79,3.57,Discapacidad,31,2024
P108,8930676.41,89.47,JCF,32,2020
P043,602608.1599999999,6.04,PROCAMPO/ProAgro,32,2020
P101,448433.62000000005,4.49,Benito Juarez basica,32,2020
P108,15153100.41,79.01,JCF,32,2022
P105,1691003.75,8.82,Discapacidad,32,2022
P043,775690.5,4.04,PROCAMPO/ProAgro,32,2022
P101,709587.6200000001,3.7,Benito Juarez basica,32,2022
P048,384264.68,2.0,Otros programas sociales,32,2022
P104,268532.37,1.4,Adultos mayores,32,2022
P103,196707.03999999998,1.03,Jov Escribiendo,32,2022
P108,7497417.720000001,66.17,JCF,32,2024
P104,3239997.1199999996,28.6,Adultos mayores,32,2024
P043,592825.56,5.23,PROCAMPO/ProAgro,32,2024
