macrotema,monto_exp,pct,decil,año
Programas sociales y becas,645770277.61,2.41,7,2022
Percepciones financieras y de capital,492436825.71,1.84,7,2022
Renta de la propiedad,78627840.68,0.29,7,2022
Otros ingresos,37604248.8,0.14,7,2022
Trabajo,21624456591.34,74.86,8,2022
Transferencias,2980602411.15,10.32,8,2022
Negocio propio,2602649132.7400002,9.01,8,2022
Percepciones financieras y de capital,828596412.74,2.87,8,2022
Programas sociales y becas,563325796.29,1.95,8,2022
Renta de la propiedad,261053730.24,0.9,8,2022
Otros ingresos,25428261.64,0.09,8,2022
Trabajo,28385937298.88,74.12,9,2022
Transferencias,4999823428.85,13.05,9,2022
Negocio propio,2630578719.7200003,6.87,9,2022
Percepciones financieras y de capital,1354037429.4099998,3.54,9,2022
Programas sociales y becas,556744813.32,1.45,9,2022
Renta de la propiedad,309281453.15,0.81,9,2022
Otros ingresos,63203157.279999994,0.17,9,2022
Trabajo,37228692041.01,68.04,10,2022
Transferencias,7434186213.7,13.59,10,2022
Negocio propio,6547625702.18,11.97,10,2022
Percepciones financieras y de capital,2441270905.01,4.46,10,2022
Renta de la propiedad,626737488.36,1.15,10,2022
Programas sociales y becas,394086111.9,0.72,10,2022
Otros ingresos,47288220.95,0.09,10,2022
Trabajo,3079167486.9900002,52.77,1,2024
Transferencias,922852417.13,15.81,1,2024
Negocio propio,802006800.02,13.74,1,2024
Percepciones financieras y de capital,571277878.02,9.79,1,2024
Programas sociales y becas,432586944.21000004,7.41,1,2024
Otros ingresos,22745144.169999998,0.39,1,2024
Renta de la propiedad,4930133.36,0.08,1,2024
Trabajo,7976984474.79,67.14,2,2024
Transferencias,1490713207.06,12.55,2,2024
Negocio propio,1385392459.66,11.66,2,2024
Programas sociales y becas,570221682.66,4.8,2,2024
Percepciones financieras y de capital,408862077.62,3.44,2,2024
Otros ingresos,26385458.6,0.22,2,2024
Renta de la propiedad,23398405.63,0.2,2,2024
Trabajo,11592072890.57,71.13,3,2024
Transferencias,2120304928.06,13.01,3,2024
Negocio propio,1417565565.2,8.7,3,2024
Programas sociales y becas,682897621.36,4.19,3,2024
Percepciones financieras y de capital,410654675.49,2.52,3,2024
Renta de la propiedad,64998892.7,0.4,3,2024
Otros ingresos,9579008.67,0.06,3,2024
Trabajo,14095010807.63,72.6,4,2024
Negocio propio,2052878711.73,10.57,4,2024
Transferencias,1955144490.94,10.07,4,2024
Programas sociales y becas,675624607.28,3.48,4,2024
Percepciones financieras y de capital,558168952.6,2.88,4,2024
Renta de la propiedad,42472326.11,0.22,4,2024
Otros ingresos,35123480.74,0.18,4,2024
Trabajo,16370020302.74,73.99,5,2024
Transferencias,2463263939.5299997,11.13,5,2024
Negocio propio,1893372976.61,8.56,5,2024
Programas sociales y becas,763939260.41,3.45,5,2024
Percepciones financieras y de capital,500511401.98,2.26,5,2024
Renta de la propiedad,94529999.95,0.43,5,2024
Otros ingresos,38639524.56,0.17,5,2024
Trabajo,19481256918.54,74.78,6,2024
Transferencias,2799943240.8,10.75,6,2024
Negocio propio,2453257873.75,9.42,6,2024
Programas sociales y becas,628390874.59,2.41,6,2024
Percepciones financieras y de capital,557242458.49,2.14,6,2024
Renta de la propiedad,74510521.39,0.29,6,2024
Otros ingresos,55474207.2,0.21,6,2024
Trabajo,23781628199.24,77.15,7,2024
Transferencias,2497112482.54,8.1,7,2024
Negocio propio,2343738336.32,7.6,7,2024
Percepciones financieras y de capital,1301358763.12,4.22,7,2024
