clave,monto_exp,pct,programa,decil,año
P104,11000647.64,12.66,Adultos mayores,5,2024
P043,1918609.8099999998,2.21,PROCAMPO/ProAgro,5,2024
P101,915027.9400000001,1.05,Benito Juarez basica,5,2024
P105,313874.79,0.36,Discapacidad,5,2024
P108,82582469.56,96.38,JCF,6,2024
P043,2863221.85,3.34,PROCAMPO/ProAgro,6,2024
P101,236054.1,0.28,Benito Juarez basica,6,2024
P108,14449539.98,86.59,JCF,7,2024
P104,1127211.33,6.75,Adultos mayores,7,2024
P043,563604.71,3.38,PROCAMPO/ProAgro,7,2024
P102,547825.6,3.28,BJ media superior,7,2024
P108,61919954.58,88.22,JCF,8,2024
P104,8269112.61,11.78,Adultos mayores,8,2024
P108,80528872.53,83.42,JCF,9,2024
P104,9429448.14,9.77,Adultos mayores,9,2024
P105,4667915.3,4.84,Discapacidad,9,2024
P048,1003694.76,1.04,Otros programas sociales,9,2024
P102,669861.9,0.69,BJ media superior,9,2024
P101,238450.5,0.25,Benito Juarez basica,9,2024
P108,106878492.47,98.48,JCF,10,2024
P102,916102.51,0.84,BJ media superior,10,2024
P043,735747.82,0.68,PROCAMPO/ProAgro,10,2024
