año,grupo,ing_pc_real_prom,hogares,cve_ent
2022,candidato sin beca,10550.293493358102,111293,24
2022,con beca,4225.578824862103,382,24
2024,candidato sin beca,13336.542602945827,103265,24
2024,con beca,11903.488630775577,606,24
2020,candidato sin beca,10176.246200605761,118732,25
2020,con beca,16289.618575178705,1078,25
2022,candidato sin beca,14735.998990334137,107150,25
2022,con beca,10724.967972771168,830,25
2024,candidato sin beca,20205.145921222163,117748,25
2020,candidato sin beca,10996.675070429184,116869,26
2020,con beca,2674.9339731702876,412,26
2022,candidato sin beca,15296.237721025243,87306,26
2022,con beca,58687.26572007755,523,26
2024,candidato sin beca,22114.12102566468,99936,26
2024,con beca,21782.66848039216,765,26
2020,candidato sin beca,7454.669756376856,91906,27
2020,con beca,6975.525959215428,11673,27
2022,candidato sin beca,9462.817462503517,77278,27
2022,con beca,13342.435176055358,4892,27
2024,candidato sin beca,14598.329663851348,93746,27
2024,con beca,13821.41524486697,5049,27
2020,candidato sin beca,9165.012774570798,142777,28
2020,con beca,10423.629050431913,3076,28
2022,candidato sin beca,14039.827027405103,139583,28
2024,candidato sin beca,17899.565506545277,135403,28
2024,con beca,30200.37408932005,1907,28
2020,candidato sin beca,5924.51976877434,58502,29
2020,con beca,6341.078291637402,1073,29
2022,candidato sin beca,8933.813602761476,45629,29
2022,con beca,6417.742333743804,1245,29
2024,candidato sin beca,12567.572616220645,42517,29
2024,con beca,17362.741432922212,948,29
2020,candidato sin beca,6823.877521808876,334807,30
2020,con beca,4816.671775861365,9424,30
2022,candidato sin beca,10958.57104487284,312137,30
2022,con beca,9575.344982354258,3211,30
2024,candidato sin beca,12612.232890612811,308636,30
2024,con beca,11619.04745333923,6137,30
2020,candidato sin beca,8258.385142781479,81651,31
2020,con beca,10802.659680858937,2032,31
2022,candidato sin beca,13936.85668852122,67552,31
2022,con beca,9938.599547440093,1532,31
2024,candidato sin beca,17741.490329226977,61176,31
2024,con beca,15963.917521588945,579,31
2020,candidato sin beca,6981.5919084216475,67491,32
2020,con beca,7362.4228768959765,1721,32
2022,candidato sin beca,10179.842941320081,66072,32
2022,con beca,8050.38149794925,1939,32
2024,candidato sin beca,13170.399145933683,64912,32
2024,con beca,7100.434355500821,812,32
